183.2578 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_70dBFS.wav
183.2579 	EXP 	Sound  started
185.0432 	DATA 	Keypress: 7
185.2431 	EXP 	Sound  stopped
185.2437 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_90dBFS.wav
185.2437 	EXP 	Sound  started
187.2289 	EXP 	Sound  stopped
187.2295 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_80dBFS.wav
187.2295 	EXP 	Sound  started
189.2147 	EXP 	Sound  stopped
189.2153 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_70dBFS.wav
189.2153 	EXP 	Sound  started
191.0006 	DATA 	Keypress: 7
191.2005 	EXP 	Sound  stopped
191.2011 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_90dBFS.wav
191.2011 	EXP 	Sound  started
193.1864 	EXP 	Sound  stopped
193.1869 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_80dBFS.wav
193.1869 	EXP 	Sound  started
194.9722 	DATA 	Keypress: 7
195.1722 	EXP 	Sound  stopped
195.1727 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_90dBFS.wav
195.1728 	EXP 	Sound  started
197.1580 	EXP 	Sound  stopped
197.1585 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_80dBFS.wav
197.1585 	EXP 	Sound  started
198.9439 	DATA 	Keypress: 7
199.1438 	EXP 	Sound  stopped
199.1443 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_90dBFS.wav
199.1443 	EXP 	Sound  started
201.1278 	EXP 	Sound  stopped
201.1284 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_80dBFS.wav
201.1284 	EXP 	Sound  started
202.9137 	DATA 	Keypress: 7
203.1136 	EXP 	Sound  stopped
205.1158 	EXP 	window1: blendMode = 'avg'
205.1692 	EXP 	window1: blendMode = 'avg'
205.1907 	EXP 	unnamed TextStim: text = 'Druecke, wenn du keinen Ton mehr hoerst.'
209.2093 	EXP 	window1: blendMode = 'avg'
209.2433 	EXP 	unnamed TextStim: text = 'Jetzt geht es los!'
211.2488 	EXP 	window1: blendMode = 'avg'
211.2780 	EXP 	unnamed TextStim: text = '+'
211.2786 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_20dBFS.wav
211.2786 	EXP 	Sound  started
213.2639 	EXP 	Sound  stopped
213.2644 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_30dBFS.wav
213.2645 	EXP 	Sound  started
215.2497 	EXP 	Sound  stopped
215.2503 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_40dBFS.wav
215.2504 	EXP 	Sound  started
217.2356 	EXP 	Sound  stopped
217.2362 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_50dBFS.wav
217.2362 	EXP 	Sound  started
219.2215 	EXP 	Sound  stopped
219.2221 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_60dBFS.wav
219.2221 	EXP 	Sound  started
221.2074 	EXP 	Sound  stopped
221.2080 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_70dBFS.wav
221.2081 	EXP 	Sound  started
223.1933 	EXP 	Sound  stopped
223.1939 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_80dBFS.wav
223.1939 	EXP 	Sound  started
225.1792 	EXP 	Sound  stopped
225.1798 	EXP 	Set  sound=stimuli/audiosegment/1000hz_minus_90dBFS.wav
225.1799 	EXP 	Sound  started
227.1404 	DATA 	Keypress: 7
227.1651 	EXP 	Sound  stopped
227.1657 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_20dBFS.wav
227.1657 	EXP 	Sound  started
229.1510 	EXP 	Sound  stopped
229.1515 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_30dBFS.wav
229.1515 	EXP 	Sound  started
231.1368 	EXP 	Sound  stopped
231.1374 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_40dBFS.wav
231.1374 	EXP 	Sound  started
233.1227 	EXP 	Sound  stopped
233.1233 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_50dBFS.wav
233.1233 	EXP 	Sound  started
235.1086 	EXP 	Sound  stopped
235.1092 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_60dBFS.wav
235.1092 	EXP 	Sound  started
237.0944 	EXP 	Sound  stopped
237.0950 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_70dBFS.wav
237.0951 	EXP 	Sound  started
239.0803 	EXP 	Sound  stopped
239.0809 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_80dBFS.wav
239.0809 	EXP 	Sound  started
241.0662 	EXP 	Sound  stopped
241.0668 	EXP 	Set  sound=stimuli/audiosegment/1500hz_minus_90dBFS.wav
241.0668 	EXP 	Sound  started
242.8522 	DATA 	Keypress: 7
242.8524 	DATA 	Keypress: 7
243.0521 	EXP 	Sound  stopped
243.0527 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_20dBFS.wav
243.0527 	EXP 	Sound  started
245.0379 	EXP 	Sound  stopped
245.0385 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_30dBFS.wav
245.0385 	EXP 	Sound  started
247.0238 	EXP 	Sound  stopped
247.0244 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_40dBFS.wav
247.0244 	EXP 	Sound  started
249.0096 	EXP 	Sound  stopped
249.0103 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_50dBFS.wav
249.0103 	EXP 	Sound  started
250.9955 	EXP 	Sound  stopped
250.9961 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_60dBFS.wav
250.9962 	EXP 	Sound  started
252.9806 	EXP 	Sound  stopped
252.9812 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_70dBFS.wav
252.9813 	EXP 	Sound  started
254.9665 	EXP 	Sound  stopped
