324.0333 	EXP 	Set  sound=stimuli/audiosegment/8000hz_minus_40dBFS.wav
324.0333 	EXP 	Sound  started
326.0186 	EXP 	Sound  stopped
326.0206 	EXP 	Set  sound=stimuli/audiosegment/8000hz_minus_50dBFS.wav
326.0206 	EXP 	Sound  started
328.0059 	EXP 	Sound  stopped
328.0079 	EXP 	Set  sound=stimuli/audiosegment/8000hz_minus_60dBFS.wav
328.0079 	EXP 	Sound  started
329.9932 	EXP 	Sound  stopped
329.9952 	EXP 	Set  sound=stimuli/audiosegment/8000hz_minus_70dBFS.wav
329.9952 	EXP 	Sound  started
331.9805 	EXP 	Sound  stopped
331.9825 	EXP 	Set  sound=stimuli/audiosegment/8000hz_minus_80dBFS.wav
331.9825 	EXP 	Sound  started
333.7679 	DATA 	Keypress: 7
333.9678 	EXP 	Sound  stopped
333.9684 	EXP 	Set  sound=stimuli/audiosegment/500hz_minus_20dBFS.wav
333.9684 	EXP 	Sound  started
335.9536 	EXP 	Sound  stopped
335.9542 	EXP 	Set  sound=stimuli/audiosegment/500hz_minus_30dBFS.wav
335.9542 	EXP 	Sound  started
337.9395 	EXP 	Sound  stopped
337.9544 	EXP 	Set  sound=stimuli/audiosegment/500hz_minus_40dBFS.wav
337.9544 	EXP 	Sound  started
339.9397 	EXP 	Sound  stopped
339.9417 	EXP 	Set  sound=stimuli/audiosegment/500hz_minus_50dBFS.wav
339.9417 	EXP 	Sound  started
341.9270 	EXP 	Sound  stopped
341.9290 	EXP 	Set  sound=stimuli/audiosegment/500hz_minus_60dBFS.wav
341.9290 	EXP 	Sound  started
343.9143 	EXP 	Sound  stopped
343.9163 	EXP 	Set  sound=stimuli/audiosegment/500hz_minus_70dBFS.wav
343.9163 	EXP 	Sound  started
345.9016 	EXP 	Sound  stopped
345.9036 	EXP 	Set  sound=stimuli/audiosegment/500hz_minus_80dBFS.wav
345.9036 	EXP 	Sound  started
347.8889 	EXP 	Sound  stopped
347.8895 	EXP 	Set  sound=stimuli/audiosegment/500hz_minus_90dBFS.wav
347.8895 	EXP 	Sound  started
349.8748 	EXP 	Sound  stopped
349.8748 	EXP 	Sound  stopped
349.8884 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_20dBFS.wav
349.8884 	EXP 	Sound  started
351.6734 	DATA 	Keypress: 7
351.6735 	DATA 	Keypress: 7
351.8733 	EXP 	Sound  stopped
351.8739 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_20dBFS.wav
351.8739 	EXP 	Sound  started
353.8591 	EXP 	Sound  stopped
353.8669 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_30dBFS.wav
353.8669 	EXP 	Sound  started
355.8522 	EXP 	Sound  stopped
355.8542 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_40dBFS.wav
355.8542 	EXP 	Sound  started
357.8395 	EXP 	Sound  stopped
357.8415 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_50dBFS.wav
357.8415 	EXP 	Sound  started
359.8268 	EXP 	Sound  stopped
359.8299 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_60dBFS.wav
359.8299 	EXP 	Sound  started
361.8152 	EXP 	Sound  stopped
361.8172 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_70dBFS.wav
361.8172 	EXP 	Sound  started
363.8025 	EXP 	Sound  stopped
363.8031 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_80dBFS.wav
363.8031 	EXP 	Sound  started
365.7884 	EXP 	Sound  stopped
365.7890 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_90dBFS.wav
365.7890 	EXP 	Sound  started
367.7743 	EXP 	Sound  stopped
367.7743 	EXP 	Sound  stopped
369.7760 	EXP 	window1: blendMode = 'avg'
369.8402 	EXP 	window1: blendMode = 'avg'
369.8613 	EXP 	unnamed TextStim: text = 'Druecke, wenn du keinen Ton mehr hoerst.'
373.8802 	EXP 	window1: blendMode = 'avg'
