Frequency (Hz)	Level (dB)
5749.365234	-61.549431
5760.131836	-61.745827
5770.898438	-61.273174
5781.665039	-61.289402
5792.431641	-61.546982
5803.198242	-61.751343
5813.964844	-61.929478
5824.731445	-61.656006
5835.498047	-60.771194
5846.264648	-61.322384
5857.031250	-61.459042
5867.797852	-61.627014
5878.564453	-61.974861
5889.331055	-62.250332
5900.097656	-62.086933
5910.864258	-61.740482
5921.630859	-61.224571
5932.397461	-61.307198
5943.164062	-61.968761
5953.930664	-61.789242
5964.697266	-60.310055
5975.463867	-61.266594
5986.230469	-61.929920
5996.997070	-61.600887
6007.763672	-61.319530
6018.530273	-61.625565
6029.296875	-61.675014
6040.063477	-61.585781
6050.830078	-61.968662
6061.596680	-61.909847
6072.363281	-61.940800
6083.129883	-61.939739
6093.896484	-61.195145
6104.663086	-60.790482
6115.429688	-61.339325
6126.196289	-61.515141
6136.962891	-61.313000
6147.729492	-61.725452
6158.496094	-61.616486
6169.262695	-61.901112
6180.029297	-62.268589
6190.795898	-62.251469
6201.562500	-61.499577
6212.329102	-62.192642
6223.095703	-61.495495
6233.862305	-59.614578
6244.628906	-61.236969
6255.395508	-62.100441
6266.162109	-62.064541
6276.928711	-61.079124
6287.695312	-61.452183
6298.461914	-61.454529
6309.228516	-61.307652
6319.995117	-61.955860
6330.761719	-62.111488
6341.528320	-62.021511
6352.294922	-61.803986
6363.061523	-60.153316
6373.828125	-61.013374
6384.594727	-62.259712
6395.361328	-62.212261
6406.127930	-62.052105
6416.894531	-62.373867
6427.661133	-61.950424
6438.427734	-62.008636
6449.194336	-62.431534
6459.960938	-62.068439
6470.727539	-62.046112
6481.494141	-62.210808
6492.260742	-61.274117
6503.027344	-61.121914
6513.793945	-62.103249
6524.560547	-62.149033
6535.327148	-62.312527
6546.093750	-62.186054
6556.860352	-62.476589
6567.626953	-62.888523
6578.393555	-62.530392
6589.160156	-62.611061
6599.926758	-62.483261
6610.693359	-62.541828
6621.459961	-62.235443
6632.226562	-61.144058
6642.993164	-61.629349
6653.759766	-61.804836
6664.526367	-62.088024
6675.292969	-62.129951
6686.059570	-61.891884
6696.826172	-62.143925
6707.592773	-62.214439
6718.359375	-62.278309
6729.125977	-62.408329
6739.892578	-62.421040
6750.659180	-62.247890
6761.425781	-62.178719
6772.192383	-62.842216
6782.958984	-62.666954
6793.725586	-62.663788
6804.492188	-62.319210
6815.258789	-62.416164
6826.025391	-62.501255
6836.791992	-62.583099
6847.558594	-62.428154
6858.325195	-62.101521
6869.091797	-62.119911
6879.858398	-62.151958
6890.625000	-62.377598
6901.391602	-62.467571
6912.158203	-62.274342
6922.924805	-62.288914
6933.691406	-62.442883
6944.458008	-62.778606
6955.224609	-62.655106
6965.991211	-62.578850
6976.757812	-62.648361
6987.524414	-62.833542
6998.291016	-62.919132
7009.057617	-62.707054
7019.824219	-62.188908
7030.590820	-62.318661
7041.357422	-62.710930
7052.124023	-62.906433
7062.890625	-62.850014
7073.657227	-62.926292
7084.423828	-63.075405
7095.190430	-62.572109
7105.957031	-62.566521
7116.723633	-62.696812
7127.490234	-62.718941
7138.256836	-62.404171
7149.023438	-63.018257
7159.790039	-62.653725
7170.556641	-62.686172
7181.323242	-63.103737
7192.089844	-62.833473
7202.856445	-62.646629
7213.623047	-62.800411
7224.389648	-62.817200
7235.156250	-62.612221
7245.922852	-62.721001
7256.689453	-63.536705
7267.456055	-62.945759
7278.222656	-62.777340
7288.989258	-62.188835
7299.755859	-62.168980
7310.522461	-62.859871
7321.289062	-62.388626
7332.055664	-62.393940
7342.822266	-62.753777
7353.588867	-62.952106
7364.355469	-62.417637
7375.122070	-62.870533
7385.888672	-63.449993
7396.655273	-63.676434
7407.421875	-63.699005
7418.188477	-62.669575
7428.955078	-62.311974
7439.721680	-62.733368
7450.488281	-62.434341
7461.254883	-62.472080
7472.021484	-63.006744
7482.788086	-62.654339
7493.554688	-62.584145
7504.321289	-62.391064
7515.087891	-63.188240
7525.854492	-63.022446
7536.621094	-62.695820
7547.387695	-62.848057
7558.154297	-62.913532
7568.920898	-62.871731
7579.687500	-62.914268
7590.454102	-63.174812
7601.220703	-62.814999
7611.987305	-62.580452
7622.753906	-62.965771
7633.520508	-63.245403
7644.287109	-62.829239
7655.053711	-62.081837
7665.820312	-62.768318
7676.586914	-62.739742
7687.353516	-63.315296
7698.120117	-62.856911
7708.886719	-62.739571
7719.653320	-63.201176
7730.419922	-63.183552
7741.186523	-62.919701
7751.953125	-62.411861
7762.719727	-62.774277
